,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
10,day,nationalities,reprogram,fifteenth,technicki,,northbound,,transmit,,congressional,humped,dispersion,downright,mutations,withered,obligations,clarification,,fruition,insinuation,complimented,suppressive,fulfilled,bioelectric,unzipped,farmhouse,notches,handbags,gladness,affectless,scrubs,,lagged,,staccato,overdose,crunched,rutted,fluorescents,objectivism,beleaguered,skewers,budding,chattered,thrashing,damning,,,circuit,aiding,morality,flexibility,lumbering,spattering,bumping,unzipping,fabbing,groveling,disclosing,formalities,evaporating,racking,gauging,lagging,tolerance,mercilessly,sandwiched,fitfully,hermetically,dignities,cladistic,,embankment,,graciously,vertebrate,toppled,omegaity,disturbingly,owlishly,gipsies,,indescribably,,unperturbed,astrological,infuriated,,fetishist,gruesome
11,rest,,,seventeenth,technickis,,,,transmuted,,confessional,limped,infusion,highlight,calculations,,revolutions,magnification,,masturbation,incantation,complimentary,,enamelled,electromagnetically,nipped,bughouse,,handiwork,shyness,selfless,,,,,stoke,overlook,,tutted,adolescent,,tampered,secretburgers,welding,tattered,sloshing,dawning,,,photographed,upgrading,,deniability,yammering,cluttering,drooping,tipping,,swirling,deducing,modalities,disintegrating,jockeying,gouging,,acquaintance,flawlessly,latched,disdainfully,theoretically,denies,,,measurements,,dubiously,,waddled,,alarmingly,,moddies,,vulnerable,,hypnotized,ideological,,,aj,gratuitous
12,becoming,,,sixteenth,techniwave,,,,transgenic,,concession,trumped,erosion,twilight,permutations,,revelations,amplification,,malnutrition,,commensal,,,electromagnet,clapped,housetops,,handwoven,dullness,guileless,,,,,stonehenge,overthrow,,blotted,nascent,,outnumbered,sewers,hedding,sputtered,crunching,awning,,,pornographic,bidding,,inflexibility,rendering,loitering,snoozing,clipping,,tumbling,,subtleties,incriminating,whacking,golfing,,riddance,sluggishly,wretched,doubtfully,dramatically,,,,sacrament,,tremendously,,befuddled,,unerringly,,peltsies,,unknowable,,adorned,sociobiological,,,wafuku,fabulous
13,personality,,,nineteenth,,,,,transfixed,,,,profusion,searchlight,,,temptations,unification,,prohibition,,commentator,,,electropigment,capped,greenhouse,,handcuffed,fullness,doubtless,,,,,,overrides,,,tumescent,,,bikers,,tottered,itching,declining,,,choreography,deluding,,inability,hollering,splintering,swiping,sipping,,wriggling,,peculiarities,revolting,disorienting,,,askance,,,slyly,emphatically,,,,impediment,,fabulously,,swaddled,,jokingly,,,,unreachable,,fortified,arcological,,,raspberry,mucous
14,construct,,,eleventh,,,,,neurotransmitter,,,,incision,lamplight,,,inclinations,purification,,,,,,,,crapped,safehouse,,handbook,carelessness,,,,,,,,,,obsolescent,,,tweezers,,splintered,meshing,pooning,,,graphics,dividing,,fragility,bickering,pestering,limping,tripping,,funneling,,logistical,escalating,perplexing,,,nuance,,,tactfully,skeptically,,,,accoutrements,,curiously,,muddled,,maddeningly,,,,irreplaceable,,buoyed,cosmological,,,appropriate,precarious
15,regarded,,,,,,,,transform,,,,evasion,wheelright,,,reputations,,,,,,,,,sapped,,,handcuffs,vastness,,,,,,,,,,,,,tigers,,clattered,lashing,,,,circulatory,raiding,,disability,slavering,sputtering,snooping,zapping,,wrestling,,,cultivating,disconcerting,,,elegance,,,mercifully,spasmodically,,,,deployment,,marvelously,,snuggled,,dizzyingly,,,,unpredictable,,mummified,astronomy,,,lebec,glamorous
16,many,,,,,,,,transferring,,,,indecision,plight,,,carnations,,,,,,,,,snipped,,,handlebars,weirdness,,,,,,,,,,,,,homeowners,,sphinctered,crushing,,,,geography,depending,,credibility,blundering,bewildering,slumming,lapping,,cackling,,,evaluating,costuming,,,petulance,,,faithfully,radically,,,,bafflement,,laboriously,,uncoiled,,stunningly,,,,inconceivable,,unmodified,teleological,,,permanence,gracious
17,exciting,,,,,,,,transformed,,,,perversion,spotlights,,,,,,,,,,,,rapped,,,,,,,,,,,,,,,,,jailers,,,trashing,,,,iconography,impending,,unpredictability,smoldering,uttering,slurping,zipping,,drizzling,,,suffocating,dislodging,,,imbalance,,,ostentatiously,laconically,,,,predicament,,rigorously,,unfurled,,,,,,impenetrable,,subvocalized,,,,origami,hazardous
18,next,,,,,,,,transact,,,,excursion,torchlight,,,,,,,,,,,,swapped,,,,,,,,,,,,,,,,,surfers,,,gushing,,,,fiberglass,fending,,fertility,overpowering,bantering,swooping,hopping,,burbling,,,bolting,hiking,,,endurance,,,artfully,critically,,,,enactment,,querulously,,,,,,,,inexorable,,disgraced,,,,altitude,humorous
19,step,,,,,,,,transhuman,,,,subdivision,skylight,,,,,,,,,,,,quipped,,,,,,,,,,,,,,,,,dosers,,,hitching,,,,geographical,brooding,,,soldering,stuttering,sniping,topping,,crumbling,,,updating,hulking,,,reconnaissance,,,helpfully,enthusiastically,,,,excrement,,copiously,,,,,,,,salvageable,,disgorged,,,,impermanence,raucous
20,personal,,,,,,,,transcend,,,,subversion,lightbulb,,,,,,,,,,,,crypped,,,,,,,,,,,,,,,,,sphincters,,,flushing,,,,cryptography,ascending,,,mooring,festering,,mopping,,menacing,,,violating,sulking,,,avoidance,,,wistfully,fantastically,,,,redeployment,,ferociously,,,,,,,,unfathomable,,unfeigned,,,,mathematical,spacious
21,development,,,,,,,,transcribe,,,,propulsion,microlight,,,,,,,,,,,,hipped,,,,,,,,,,,,,,,,,,,,slashing,,,,cd,unending,,,jabbering,shattering,,cupping,,fumbling,,,deprecating,pecking,,,acquaintances,,,joyfully,ironically,,,,alignment,,fortuitously,,,,,,,,unreasonable,,dislodged,,,,theorem,ambiguous
22,however,,,,,,,,transatlantic,,,,immersion,microlights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bashing,,,,abbott,eluding,,,,pilfering,,swapping,,cycling,,,detonating,spiking,,,nonchalance,,,dolefully,metaphorically,,,,advertisements,,imperiously,,,,,,,,gullible,,immobilized,,,,acoustic,obnoxious
23,little,,,,,,,,transforming,,,,expulsion,spotlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smashing,,,,pornography,evading,,,,smattering,,,,scrambling,,,demonstrating,reeking,,,inheritance,,,mournfully,clinically,,,,arrondissement,,luxuriously,,,,,,,,invulnerable,,lobotomized,,,,mmm,voracious
24,particularly,,,,,,,,transported,,,,,firelight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blushing,,,,fiberplas,tending,,,,mustering,,,,rustling,,,intimidating,segueing,,,countenance,,,,majestically,,,,endorsement,,pompously,,,,,,,,unusable,,liquefied,,,,autopilot,meticulous
25,circumstances,,,,,,,,transcended,,,,,candlelight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inching,,,,demographics,condescending,,,,jittering,,,,shuffling,,,excruciating,thwacking,,,sustenance,,,,heroically,,,,detachment,,monotonously,,,,,,,,immovable,,piqued,,,,dowdy,nebulous
26,atomic,,,,,,,,transplants,,,,,blacklight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pitching,,,,,vending,,,,,,,,lulling,,,stimulating,disquieting,,,abundance,,,,aesthetically,,,,indictments,,maliciously,,,,,,,,unmistakable,,neutralized,,,,mmmm,ignominious
27,would,,,,,,,,transceiver,,,,,floodlights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,munching,,,,,bonding,,,,,,,,hobbling,,,unwitting,,,,,,,,cynically,,,,embodiment,,notoriously,,,,,,,,predictable,,disgruntled,,,,anachronism,cadaverous
28,say,,,,,,,,neurotransmitters,,,,,firefight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snatching,,,,,suspending,,,,,,,,drooling,,,liquefying,,,,,,,,rhetorically,,,,,,ponderously,,,,,,,,notable,,unadorned,,,,persuasive,rigorous
29,physical,,,,,,,,transient,,,,,blight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lurching,,,,,forbidding,,,,,,,,mewling,,,humiliating,,,,,,,,spastically,,,,,,viciously,,,,,,,,reputable,,segued,,,,hedonism,noxious
30,mean,,,,,,,,transgenics,,,,,skylights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetching,,,,,abiding,,,,,,,,gurgling,,,proliferating,,,,,,,,cryptically,,,,,,,,,,,,,,deplorable,,customized,,,,hypocrites,wondrous
31,remember,,,,,,,,transmits,,,,,ultralight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hatching,,,,,exuding,,,,,,,,culling,,,hefting,,,,,,,,moronically,,,,,,,,,,,,,,conceivable,,imbued,,,,syrupy,humongous
32,making,,,,,,,,transcendence,,,,,gunfight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dashing,,,,,rending,,,,,,,,howling,,,illustrating,,,,,,,,vocally,,,,,,,,,,,,,,usable,,subpoenaed,,,,symbiosis,audacious
33,choice,,,,,,,,transcript,,,,,lightfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gnashing,,,,,,,,,,,,,scrabbling,,,quitting,,,,,,,,fanatically,,,,,,,,,,,,,,unbeatable,,subsidized,,,,anthropomorphic,blasphemous
34,led,,,,,,,,transcripts,,,,,searchlights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retching,,,,,,,,,,,,,prevailing,,,spotting,,,,,,,,,,,,,,,,,,,,,,recognizable,,feigned,,,,gulp,fastidious
35,transition,,,,,,,,transferral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,etching,,,,,,,,,,,,,dribbling,,,intoxicating,,,,,,,,,,,,,,,,,,,,,,amiable,,petrified,,,,fluff,vainglorious
36,please,,,,,,,,transverse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clashing,,,,,,,,,,,,,toppling,,,blotting,,,,,,,,,,,,,,,,,,,,,,permeable,,mortified,,,,thermodynamics,gregarious
37,take,,,,,,,,transcendent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swishing,,,,,,,,,,,,,lolling,,,perpetuating,,,,,,,,,,,,,,,,,,,,,,unrecognisable,,ramified,,,,nuggets,vaporous
38,moment,,,,,,,,transers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hunching,,,,,,,,,,,,,tolling,,,saturating,,,,,,,,,,,,,,,,,,,,,,adaptable,,epoxied,,,,synthesizer,melodious
39,read,,,,,,,,transer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,onrushing,,,,,,,,,,,,,unrolling,,,exaggerating,,,,,,,,,,,,,,,,,,,,,,indescribable,,disembarked,,,,successful,ponderous
40,guide,,,,,,,,transplanted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sizzling,,,fluctuating,,,,,,,,,,,,,,,,,,,,,,insufferable,,,,,,cauldron,joyous
41,reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bustling,,,undulating,,,,,,,,,,,,,,,,,,,,,,pitiable,,,,,,cuckoo,carnivorous
42,carefully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiggling,,,disrupting,,,,,,,,,,,,,,,,,,,,,,irreconcilable,,,,,,gym,rapacious
43,ordered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spoiling,,,haunting,,,,,,,,,,,,,,,,,,,,,,unbelievable,,,,,,gwynnedd,ludicrous
44,potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nibbling,,,deteriorating,,,,,,,,,,,,,,,,,,,,,,invincible,,,,,,schizophrenia,carnivore
45,stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gabbling,,,tilting,,,,,,,,,,,,,,,,,,,,,,formidable,,,,,,spectacular,carnivores
46,ahead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marveling,,,terminating,,,,,,,,,,,,,,,,,,,,,,unrecognizable,,,,,,turmoil,gibbous
47,social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hurtling,,,eradicating,,,,,,,,,,,,,,,,,,,,,,unavoidable,,,,,,hypnosis,oleaginous
48,care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twinkling,,,calculating,,,,,,,,,,,,,,,,,,,,,,unreliable,,,,,,kaleidoscope,unanimous
49,operative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crippling,,,taunting,,,,,,,,,,,,,,,,,,,,,,impermeable,,,,,,downy,anomalous
50,along,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hustling,,,rooting,,,,,,,,,,,,,,,,,,,,,,impeccable,,,,,,testosterone,infamous
51,shortly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,appalling,,,meditating,,,,,,,,,,,,,,,,,,,,,,unremarkable,,,,,,tapeworm,judicious
52,assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,needling,,,reverberating,,,,,,,,,,,,,,,,,,,,,,intolerable,,,,,,trustworthy,pernicious
53,phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inhaling,,,sifting,,,,,,,,,,,,,,,,,,,,,,intangible,,,,,,epilogue,frivolous
54,induction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twiddling,,,accreting,,,,,,,,,,,,,,,,,,,,,,irascible,,,,,,unworthy,amphibious
55,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mumbling,,,jaunting,,,,,,,,,,,,,,,,,,,,,,disreputable,,,,,,mathematics,
56,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extolling,,,debating,,,,,,,,,,,,,,,,,,,,,,favorable,,,,,,www,
57,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jostling,,,celebrating,,,,,,,,,,,,,,,,,,,,,,amenable,,,,,,ambassador,
58,may,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shambling,,,soliciting,,,,,,,,,,,,,,,,,,,,,,pleasurable,,,,,,asthmatic,
59,come,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambling,,,drafting,,,,,,,,,,,,,,,,,,,,,,unseeable,,,,,,vukani,
60,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfurling,,,dictating,,,,,,,,,,,,,,,,,,,,,,inarguable,,,,,,dynamic,
61,try,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,haggling,,,rebooting,,,,,,,,,,,,,,,,,,,,,,fungible,,,,,,ambassadors,
62,put,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scuffling,,,accumulating,,,,,,,,,,,,,,,,,,,,,,,,,,,,ergonomic,
63,aside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swaddling,,,depicting,,,,,,,,,,,,,,,,,,,,,,,,,,,,swab,
64,branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inkling,,,jutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,favourite,
65,ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grumbling,,,levitating,,,,,,,,,,,,,,,,,,,,,,,,,,,,dj,
66,devoted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cradling,,,tolerating,,,,,,,,,,,,,,,,,,,,,,,,,,,,tobias,
67,helping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boggling,,,fidgeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,baltimore,
68,humans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tackling,,,alerting,,,,,,,,,,,,,,,,,,,,,,,,,,,,fungal,
69,medical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinkling,,,wafting,,,,,,,,,,,,,,,,,,,,,,,,,,,,bitchmonkey,
70,education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,puzzling,,,emitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,epileptic,
71,crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,waddling,,,exhilarating,,,,,,,,,,,,,,,,,,,,,,,,,,,,asthma,
72,punishment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hireling,,,swatting,,,,,,,,,,,,,,,,,,,,,,,,,,,,khayelitsha,
73,counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuzzling,,,jolting,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,
74,advice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twirling,,,exacting,,,,,,,,,,,,,,,,,,,,,,,,,,,,gamchee,
75,handled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gobbling,,,rutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,lobotomy,
76,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fondling,,,flaunting,,,,,,,,,,,,,,,,,,,,,,,,,,,,kosovo,
77,environmental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suckling,,,circulating,,,,,,,,,,,,,,,,,,,,,,,,,,,,barcelona,
78,agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snuffling,,,pulsating,,,,,,,,,,,,,,,,,,,,,,,,,,,,entrepreneurs,
79,thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spooling,,,regurgitating,,,,,,,,,,,,,,,,,,,,,,,,,,,,pluslife,
