,-1,0,1,2,3
242,feel,,dependent,hopping,
243,leaves,,enjoyment,whipping,
244,miracle,,symmetry,wiggling,
245,felt,,fluffy,smashing,
246,glow,,clumps,typing,
247,inside,,sponge,wrinkling,
248,defined,,optimal,toying,
249,shoulders,,adopt,nibbling,
250,upper,,humble,hauling,
251,body,,spongy,intoxicating,
252,gentle,,skeleton,squirting,
253,way,,clinical,flailing,
254,grey,,shuffled,waning,
255,leaf,,topmost,groping,
256,fingers,,discontinuity,warming,
257,made,,awkwardly,bumping,
258,wonder,,disconcerted,tinkering,
259,fold,,updated,hurtling,
260,arms,,windblown,mopping,
261,maybe,,employed,wagging,
262,kiss,,vicious,twinkling,
263,straightened,,calculated,obeying,
264,metallic,,involvement,reassembling,
265,residue,,surreptitiously,varying,
266,caught,,valuable,blushing,
267,sight,,lifespan,crippling,
268,nearby,,millennia,involving,
269,dancing,,lovingly,shitting,
270,fresh,,relativistic,investigating,
271,breeze,,whirl,impending,
272,natural,,stilted,defending,
273,impressed,,hobbled,clamping,
274,tall,,velocity,undulating,
275,enough,,infant,hustling,
276,reach,,fulfillment,hallucinating,
277,catch,,clutched,consulting,
278,hold,,fluff,dialing,
279,end,,waltz,haunting,
280,ouch,,erratically,loitering,
281,winced,,capability,measuring,
282,spikes,,spicy,burying,
283,look,,scrambled,raging,
284,twisting,,deflected,appalling,
285,effect,,synthesizer,evading,
286,trunk,,accustomed,summoning,
287,definitely,,erratic,fretting,
288,venumb,,flux,hoisting,
289,came,,method,inhaling,
290,towards,,identify,splintering,
291,dark,,syllable,cowering,
292,twentieth,,tidy,cringing,
293,silently,,wriggled,drooping,
294,thanked,,enthusiasm,pursuing,
295,set,,deactivated,exercising,
296,drawing,,eerily,beijing,
297,tour,,dragons,pitching,
298,lucy,,gagged,celebrating,
299,asking,,scalp,mumbling,
300,swap,,cobblestones,tending,
301,shifts,,outburst,unassuming,
302,last,,duties,sputtering,
303,marek,,gym,insulting,
304,pointing,,joystick,lumbering,
305,man,,methods,swarming,
306,stepped,,erupted,describing,
307,lite,,drooped,yammering,
308,train,,coincidence,trudging,
309,winged,,unexpected,punishing,
310,seeds,,simultaneously,moaning,
311,display,,courage,trundling,
312,placing,,misgivings,munching,
313,ash,,assembly,grunting,
314,keys,,telescope,snatching,
315,designed,,denied,inkling,
316,vnm,,psychosomatic,sawing,
317,carriers,,harshly,lurching,
318,used,,innocence,issuing,
319,deliberately,,insurance,quoting,
320,turned,,practically,plumbing,
321,direction,,adapted,cradling,
322,handsome,,niche,faltering,
323,walked,,skewed,negotiating,
324,airy,,suspicious,digesting,
325,glass,,analysis,uttering,
326,structure,,likelihood,dashing,
327,visitors,,intimate,puzzling,
328,center,,frigid,bickering,
329,quickly,,turmoil,swapping,
330,pressed,,incapable,emitting,
331,key,,substantial,dwindling,
332,hands,,unbidden,chopping,
333,strange,,whorls,erasing,
334,double,,stubbornly,aging,
335,ic,,modulated,tubing,
336,carrier,,renewed,shattering,
337,pushed,,babbled,limping,
338,gently,,dodged,grazing,
339,hello,,kaleidoscope,awning,
340,holding,,nostalgic,piping,
341,stranger,,claustrophobic,leering,
342,smiling,,jargon,numbing,
343,brightly,,wrestled,gnawing,
344,guess,,geological,bragging,
345,built,,tripod,scrubbing,
346,evolved,,furiously,skimming,
347,console,,cultivated,voting,
348,wrapped,,valley,fondling,
349,waist,,inherent,grasping,
350,belt,,seductive,nosing,
351,busy,,shriveled,angling,
352,releasing,,insidious,betting,
353,cloud,,windpipe,pending,
354,maximum,,impotent,patronizing,
355,dose,,pious,coiling,
356,pheromones,,obese,clogging,
357,impression,,alternative,hosting,
358,chemicals,,testosterone,prying,
359,certainly,,jazz,emulating,
360,got,,impervious,pooling,
361,hint,,optimistic,smattering,
362,jumped,,diluted,lysing,
363,two,,raggedly,superconducting,
364,places,,howl,modeling,
365,roster,,physics,gauging,
366,allowing,,chimney,clashing,
367,escort,,suspiciously,scheming,
368,queue,,definite,jetting,
369,summer,,sinuous,gatling,
370,proper,,lunged,,
371,sucking,,dissolved,,
372,pricked,,remarkable,,
373,thumb,,scott,,
374,tender,,bravo,,
375,gesture,,curiosity,,
376,big,,decency,,
377,realizing,,countermeasures,,
378,another,,glorious,,
379,sending,,surprisingly,,
380,giant,,mathematics,,
381,walking,,www,,
382,slow,,exec,,
383,wondered,,oldschool,,
384,finally,,analogue,,
385,going,,edgy,,
386,push,,ejected,,
387,firmly,,cobbled,,
388,lips,,smuggled,,
389,reaching,,microscopic,,
390,closer,,biotech,,
391,arrogant,,labs,,
392,smile,,dynamic,,
393,face,,inatec,,
394,bent,,cosmetics,,
395,shoots,,toothpaste,,
396,emerging,,monkeys,,
397,near,,employees,,
398,base,,flu,,
399,leaning,,symptoms,,
400,liked,,epidermis,,
401,either,,inconvenience,,
402,wrong,,inconvenient,,
403,plant,,outlawed,,
404,extract,,bigtime,,
405,aluminum,,relentless,,
406,soil,,flaccid,,
407,metal,,albino,,
408,laughed,,queasy,,
409,filling,,dj,,
410,vision,,shockingly,,
411,almost,,outrageous,,
412,touching,,quality,,
413,smelled,,camaraderie,,
414,clean,,capital,,
415,touched,,preoccupied,,
416,cheek,,nuisance,,
417,tiny,,amputated,,
418,flutter,,exclusive,,
419,brushed,,junkie,,
420,skin,,waxed,,
421,gazed,,vaults,,
422,ducked,,unlucky,,
423,arm,,volts,,
424,clearing,,spasms,,
425,noon,,furious,,
426,sun,,incredulous,,
427,lanced,,hardcore,,
428,grass,,crisped,,
429,spun,,surprising,,
430,slowly,,endorphins,,
431,round,,serotonin,,
432,showing,,voluntary,,
433,light,,qualify,,
434,flickered,,clunky,,
435,silver,,employer,,
436,bound,,cc,,
437,ships,,unlawful,,
438,ascended,,juvenile,,
439,port,,verbal,,
440,bordered,,subdued,,
441,butterflies,,tremendous,,
442,rose,,adderley,,
443,air,,documentary,,
444,away,,spiel,,
445,find,,worthy,,
446,best,,taxi,,
447,examples,,taxis,,
448,venumbs,,zombie,,
449,facing,,conspicuous,,
450,area,,authenticity,,
451,mechanical,,chinatown,,
452,section,,entrepreneurs,,
453,resembles,,whirlwind,,
454,modern,,funky,,
455,want,,laundry,,
456,traditional,,escapes,,
457,head,,lumpy,,
458,opposite,,soy,,
459,fine,,celebrity,,
460,deer,,mosaic,,
461,became,,symptom,,
462,aware,,uninhabited,,
463,standing,,premium,,
464,behind,,incessant,,
465,pointed,,setback,,
466,edge,,fractals,,
467,corner,,dye,,
468,cube,,mcdonald,,
469,tops,,innocuous,,
470,oh,,ruffled,,
471,secret,,nestled,,
472,garden,,eliminate,,
473,sounds,,mazwai,,
474,moved,,clumsy,,
475,front,,genre,,
476,gazing,,management,,
477,tilted,,remake,,
478,sunken,,academic,,
479,half,,defaults,,
480,seen,,episode,,
481,twenty,,backpack,,
482,meters,,synchronous,,
483,side,,overtime,,
484,straight,,candidate,,
485,edges,,preferred,,
486,lines,,dismay,,
487,polished,,anomaly,,
488,surfaces,,smacks,,
489,marked,,employee,,
490,contrast,,vimbot,,
491,rounded,,vocal,,
492,organic,,awesome,,
493,shapes,,solidarity,,
494,surrounding,,outlaw,,
495,wood,,employers,,
496,top,,stiffly,,
497,glinted,,glamour,,
498,oddly,,soggy,,
499,emerged,,encourage,,
500,foliage,,negative,,
501,took,,cosmetic,,
502,elbow,,abnormal,,
503,forward,,preliminary,,
504,let,,nanotechnology,,
505,generation,,demographic,,
506,contemporary,,scrubbed,,
507,vnms,,sanjay,,
508,use,,irritated,,
509,library,,khanyi,,
510,code,,nkosi,,
511,seems,,applicable,,
512,hard,,trajectories,,
513,worked,,vulnerable,,
514,routines,,coherent,,
515,laugh,,ferocious,,
516,part,,impatiently,,
517,script,,irritable,,
518,often,,malaysia,,
519,thought,,nasal,,
520,sort,,frantically,,
521,done,,psycho,,
522,case,,upgrade,,
523,days,,cnn,,
524,properly,,jazeera,,
525,reached,,unathi,,
526,stood,,hazard,,
527,shadow,,lucrative,,
528,cast,,solidified,,
529,sloping,,unidentified,,
530,huge,,indulge,,
531,ran,,pseudo,,
532,hand,,moxy,,
533,across,,caffeine,,
534,surface,,unfortunately,,
535,feels,,hardcopy,,
536,odd,,sludge,,
537,frictionless,,simplicity,,
538,ugly,,endured,,
539,frowned,,remarkably,,
540,surprised,,msg,,
541,left,,dilated,,
542,hardly,,gosh,,
543,resigned,,ooh,,
544,point,,havoc,,
545,consensus,,capitalism,,
546,found,,capitalist,,
547,much,,betrayal,,
548,living,,geeks,,
549,looking,,amateur,,
550,willows,,independently,,
551,therefore,,victorian,,
552,counts,,eskom,,
553,form,,dramatic,,
554,really,,injury,,
555,sounding,,casualty,,
556,still,,bouquet,,
557,replicating,,realistically,,
558,yes,,savagely,,
559,original,,affiliated,,
560,unit,,disclosure,,
561,seeded,,tagged,,
562,three,,msgs,,
563,kilometers,,certified,,
564,kilometer,,rubbish,,
565,west,,asap,,
566,organization,,upgrades,,
567,wanted,,betray,,
568,complex,,update,,
569,rooms,,fortunately,,
570,beneath,,hilarious,,
571,ground,,instantaneously,,
572,protected,,default,,
573,stealth,,fluffoki,,
574,gives,,creepy,,
575,sheen,,jewellery,,
576,industrial,,dodgy,,
577,espionage,,karma,,
578,rife,,hastily,,
579,secure,,precariously,,
580,location,,tug,,
581,essential,,pathetically,,
582,appeared,,incongruous,,
583,someone,,ambitious,,
584,procedures,,downtime,,
585,kept,,hallelujah,,
586,previous,,irreplaceable,,
587,four,,gauzy,,
588,high,,tequila,,
589,tower,,lyrics,,
590,burrowed,,ravaged,,
591,long,,harmless,,
592,stop,,shuffle,,
593,know,,unidentifiable,,
594,happening,,mulch,,
595,construction,,merchandise,,
596,detect,,inevitable,,
597,activity,,buddhist,,
598,emitted,,excellent,,
599,puff,,ceremony,,
600,delightful,,orphanage,,
601,told,,yield,,
602,times,,juicy,,
603,must,,cosmos,,
604,spray,,confiscated,,
605,sent,,certificate,,
606,seemed,,legacy,,
607,utterly,,rathebe,,
608,fascinated,,minuscule,,
609,asked,,technologies,,
610,suddenly,,volatile,,
611,switched,,emaciated,,
612,attention,,speckled,,
613,force,,susceptible,,
614,apparent,,larynx,,
615,intention,,buffalo,,
616,stomach,,superstitious,,
617,flip,,conveniently,,
618,lashes,,carnage,,
619,door,,decrepit,,
620,heart,,styrofoam,,
621,pounding,,grotesque,,
622,flickering,,pyramid,,
623,formed,,murky,,
624,patterns,,mayhem,,
625,moss,,sardonic,,
626,grew,,sarcastic,,
627,grip,,flirtatious,,
628,stealthy,,verify,,
629,roof,,opportunities,,
630,tilt,,allowance,,
631,allowed,,casualties,,
632,began,,apocalypse,,
633,slowed,,judgement,,
634,growing,,alternate,,
635,rate,,likewise,,
636,lot,,investment,,
637,park,,hippie,,
638,technically,,rabid,,
639,restricted,,gruesome,,
640,absorb,,hubbub,,
641,glanced,,unpredictable,,
642,entrance,,derivative,,
643,surrounded,,looped,,
644,thick,,fabulous,,
645,clear,,salute,,
646,plastic,,admiringly,,
647,collar,,convenient,,
648,shaped,,tenuous,,
649,hatch,,anonymous,,
650,held,,gauche,,
651,using,,axe,,
652,power,,assembled,,
653,charm,,lumps,,
654,ladies,,cheapest,,
655,thank,,rendezvous,,
656,cold,,collaborative,,
657,sudden,,blithely,,
658,stab,,classified,,
659,fear,,alternately,,
660,nowhere,,unprecedented,,
661,shrugged,,atrocity,,
662,level,,preemptive,,
663,zero,,disassembly,,
664,rich,,squirm,,
665,pool,,hmmm,,
666,lapped,,sprinkled,,
667,walls,,quo,,
668,interior,,inadequate,,
669,filled,,limbo,,
670,square,,flotsam,,
671,bottle,,faux,,
672,water,,doyenne,,
673,yet,,ibis,,
674,begun,,cicada,,
675,flush,,ammo,,
676,start,,dulled,,
677,floors,,hyena,,
678,internal,,decoy,,
679,second,,obliged,,
680,far,,kindly,,
681,wall,,slogans,,
682,enclosed,,vigorously,,
683,fully,,dubious,,
684,lay,,indistinguishable,,
685,immediately,,ii,,
686,descending,,liability,,
687,sequence,,unaffected,,
688,extended,,howls,,
689,deep,,relentlessly,,
690,followed,,scout,,
691,serious,,puppy,,
692,danger,,sullenly,,
693,alone,,puke,,
694,met,,nauseous,,
695,hours,,override,,
696,ago,,malformed,,
697,work,,corduroy,,
698,circuitry,,brutal,,
699,functioning,,odour,,
700,block,,smirks,,
701,incoming,,glumly,,
702,outgoing,,aligned,,
703,signals,,admittedly,,
704,enter,,jabs,,
705,wait,,bakery,,
706,exit,,restless,,
707,expression,,accumulated,,
708,heard,,wardrobe,,
709,tremble,,turtle,,
710,pocket,,phenomena,,
711,pulled,,frisson,,
712,something,,frenzy,,
713,strangler,,insanely,,
714,fig,,scrutiny,,
715,small,,singapore,,
716,though,,cheaptime,,
717,tone,,amateurs,,
718,warmth,,miraculously,,
719,completely,,impenetrable,,
720,drained,,squirms,,
721,attempt,,coordinated,,
722,casual,,anarchy,,
723,tight,,huddled,,
724,forced,,authentic,,
725,distance,,hoax,,
726,white,,scuffle,,
727,object,,album,,
728,palm,,martyr,,
729,seed,,meticulously,,
730,based,,martyrdom,,
731,swallow,,incredulity,,
732,self,,endorphin,,
733,objects,,goodwill,,
734,valid,,metabolism,,
735,forms,,improvements,,
736,exist,,spaghetti,,
737,company,,pathological,,
738,mid,,ingenious,,
739,war,,methodically,,
740,never,,vulnerability,,
741,chance,,obediently,,
742,realize,,snapshots,,
743,backing,,geek,,
744,sexy,,unwieldy,,
745,sinister,,vigilantes,,
746,dangerous,,zoo,,
747,make,,http,,
748,run,,pandemic,,
749,outside,,arbitrary,,
750,send,,exhibited,,
751,distress,,clogged,,
752,call,,synchronicity,,
753,played,,manhattan,,
754,kill,,malcolm,,
755,bothered,,george,,
756,happens,,kearney,,
757,circle,,lotus,,
758,break,,seldom,,
759,withering,,mandelbrot,,
760,stand,,fairfax,,
761,slip,,ivy,,
762,sick,,hefted,,
763,noticed,,dubiously,,
764,movement,,squawk,,
765,climbing,,calculate,,
766,stairs,,attorney,,
767,wave,,inert,,
768,relief,,confidential,,
769,saw,,confidentiality,,
770,dr,,curb,,
771,larry,,mumbled,,
772,halt,,bathtub,,
773,expressions,,gypsy,,
774,person,,obsessive,,
775,piece,,leisurely,,
776,meat,,rejected,,
777,food,,renaissance,,
778,strong,,diagnostic,,
779,grabbed,,tolerance,,
780,mouth,,bureaucratic,,
781,sting,,amenities,,
782,pain,,fortunate,,
783,released,,oblique,,
784,soft,,neurotic,,
785,damp,,absurdly,,
786,knees,,kansas,,
787,five,,helplessly,,
788,minutes,,gossip,,
789,impassively,,sympathetically,,
790,watch,,sheepish,,
791,nodded,,topic,,
792,withdrew,,jogged,,
793,jaw,,cuisine,,
794,numb,,lousy,,
795,sharp,,luminous,,
796,shooting,,revolted,,
797,shoulder,,schematic,,
798,promoted,,nudged,,
799,rim,,hostility,,
800,lowest,,farewell,,
801,pulling,,crude,,
802,feeling,,incredulously,,
803,searching,,bodyshields,,
804,panic,,technological,,
805,button,,treadmill,,
806,squeezed,,multitude,,
807,memory,,fathom,,
808,shape,,pharmaceuticals,,
809,flat,,baroque,,
810,disc,,punctuated,,
811,realized,,numerous,,
812,sped,,ahem,,
813,late,,stigmata,,
814,skimmed,,phantom,,
815,upwards,,toyed,,
816,higher,,doughnut,,
817,started,,dairy,,
818,dip,,perpetually,,
819,locking,,retrospect,,
820,position,,idiosyncratic,,
821,move,,boggled,,
822,already,,scut,,
823,legs,,periodically,,
824,went,,alphabet,,
825,fell,,biznet,,
826,doctors,,paragraph,,
827,strolled,,independent,,
828,tried,,erstwhile,,
829,crawl,,diabetic,,
830,tendrils,,pancreas,,
831,following,,potato,,
832,veins,,axon,,
833,arteries,,frankenstein,,
834,suckers,,whiskey,,
835,feed,,inadvertently,,
836,blood,,shyly,,
837,screamed,,obeyed,,
838,rolled,,gaudy,,
839,spine,,squirrel,,
840,descended,,clumsily,,
841,knowledge,,soothingly,,
842,worse,,therapeutic,,
843,card,,injected,,
844,displayed,,lunchtime,,
845,rain,,ruddy,,
846,forests,,engaged,,
847,northeast,,bizarrely,,
848,deposited,,reliable,,
849,bird,,phenomenon,,
850,animal,,squirmed,,
851,sap,,asylum,,
852,gradually,,smallpox,,
853,grow,,ethnic,,
854,clung,,encouraged,,
855,working,,mailbox,,
856,drink,,monkey,,
857,eventually,,cassandra,,
858,network,,mortgage,,
859,strangling,,gourmet,,
860,killing,,pharmaceutical,,
861,die,,outlaws,,
862,leaving,,disengage,,
863,cage,,flimsy,,
864,device,,exoskeleton,,
865,happened,,imperative,,
866,today,,elvis,,
867,tested,,synthesize,,
868,cries,,sifted,,
869,spear,,endlessly,,
870,agony,,veils,,
871,seared,,homemade,,
872,jerking,,luxurious,,
873,lying,,midway,,
874,feet,,crucified,,
875,view,,wholesome,,
876,else,,unperturbed,,
877,knelt,,emphasis,,
878,think,,unbearable,,
879,cautioned,,rumbled,,
880,third,,futile,,
881,urgently,,fogged,,
882,contain,,einstein,,
883,secondary,,cutoff,,
884,infection,,bonus,,
885,soldiers,,frontier,,
886,victim,,immortal,,
887,aid,,jowls,,
888,throbbing,,cafeteria,,
889,building,,olympic,,
890,intensity,,graph,,
891,skull,,unrelated,,
892,searched,,choreography,,
893,explosion,,nastily,,
894,significant,,wavelengths,,
895,private,,discourage,,
896,sunlit,,cienega,,
897,room,,octopus,,
898,maintain,,sensuous,,
899,integrity,,inwardly,,
900,meant,,benefactor,,
901,sealing,,knob,,
902,rather,,ecstasy,,
903,placed,,tentative,,
904,closing,,emphasized,,
905,totally,,enthusiastic,,
906,shoes,,sociopath,,
907,squeaking,,copperthwait,,
908,thrill,,profitable,,
909,blocked,,gracious,,
910,floor,,instantaneous,,
911,sloped,,creep,,
912,everything,,kangaroo,,
913,slant,,distinct,,
914,progressive,,theoretically,,
915,leveling,,twined,,
916,error,,wiggled,,
917,initial,,snagged,,
918,parameters,,hazardous,,
919,seem,,pinnacle,,
920,listening,,fugitive,,
921,several,,gulf,,
922,platforms,,emerald,,
923,dry,,hymn,,
924,sense,,cognac,,
925,retreating,,dialogue,,
926,ancient,,nostalgia,,
927,machinery,,harmlessly,,
928,hidden,,dazedly,,
929,software,,vitals,,
930,climb,,nickel,,
931,collections,,muddied,,
932,awaiting,,curiously,,
933,paper,,redundancy,,
934,japanese,,obliterated,,
935,stretched,,salvaged,,
936,n,,elementary,,
937,stuttered,,catastrophe,,
938,always,,acquaintance,,
939,cubes,,enormously,,
940,failsafe,,amazement,,
941,anyone,,dictate,,
942,managed,,dictated,,
943,violate,,humorous,,
944,outer,,swamp,,
945,interest,,impulsively,,
946,tapped,,skeptical,,
947,panel,,squirt,,
948,sprang,,morgue,,
949,open,,bobbed,,
950,glimpse,,raucous,,
951,mirrored,,upgraded,,
952,cubicle,,synch,,
953,seat,,laboriously,,
954,whispered,,overrode,,
955,job,,slyly,,
956,drawn,,poetry,,
957,stoop,,restlessly,,
958,able,,horseshit,,
959,silly,,miraculous,,
960,perfectly,,feverishly,,
961,safe,,devoid,,
962,peered,,barbecue,,
963,hey,,outskirts,,
964,turning,,ubiquitous,,
965,doorway,,psychopath,,
966,lock,,spacious,,
